Title,Authors,Dates Read,Moods,Star Rating,,
Normal People,Sally Rooney,2023/01/05-2023/01/07,,2,,
Pick Your Poison,Lauren Child,2022/06/06-2022/06/09,,,,
Birnam Wood,Eleanor Catton,,,,,
Whale,Cheon Myeong-kwan,2023/03/24-2023/04/03,,4.5,,
Ghost World,Daniel Clowes,2022/04/29-2022/05/15,,3,,
Howl and Other Poems,Allen Ginsberg,2022/09/19-2022/09/22,,4.5,,
House of Leaves,Mark Z. Danielewski,2022/04/07-2022/04/19,,3,,
Feel the Fear,Lauren Child,2022/06/03-2022/06/06,,,,
The God of Small Things,Arundhati Roy,2022/06/15-2022/06/19,,5,,
The Secret History of Twin Peaks,Mark Frost,2023/10/17-2023/11/12,,3.5,,
Who's Afraid of Virginia Woolf? A Play,"Edward Albee, Edward Albee",2024/03/14-2024/03/15,,3.5,,
Neuromancer,William Gibson,2025/05/12-2025/05/18,"adventurous, challenging, inspiring, mysterious, tense",4,,
The Haunting of Hill House,Shirley Jackson,2025/08/30-2025/08/31,"dark, mysterious, tense",3.5,,
The Air Raid Book Club,Annie Lyons,2025/01/11-2025/01/13,"emotional, hopeful, relaxing",1,,
Attrib. and other stories,Eley Williams,2022/12/25-2022/12/25,,5,,
Waiting for Godot,Samuel Beckett,2023/07/26-2023/07/26,,2.5,,
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,2023/01/26-2023/01/30,,5,,
An Oresteia,"Euripides, Aeschylus, Anne Carson, Sophocles",2023/07/27-2023/07/27,,5,,
Song of Solomon,Toni Morrison,2022/05/15-2022/05/24,,2,,
Catch Your Death,Lauren Child,2022/05/31-2022/06/03,,,,
Rave,Rainald Goetz,2024/03/15-2024/03/27,,3.5,,
Greek Tragedy: An Introduction ,Bernhard Zimmermann,,,3,,
The Pigeon,Patrick Süskind,2023/01/01-2023/01/01,,2.5,,
Sheep's Clothing,Celia Dale,2024/02/04-2024/02/12,,2,,
Manuscripts Don't Burn: Mikhail Bulgakov A Life in Letters and Diaries,"J.A.E. Curtis, Mikhail Bulgakov",2025/08/28-2025/08/30,"challenging, emotional, funny, inspiring",3,,
The Birthday Party,Harold Pinter,2023/01/15-2023/01/15,,2.5,,
Hot Stew,Fiona Mozley,2022/07/09-2022/07/12,,3,,
Kafka on the Shore,Haruki Murakami,2023/01/17-2023/01/24,,4.5,,
Grief Lessons: Four Plays by Euripides,Euripides,2023/08/07-2023/08/10,,4.5,,
Mendelssohn Is on the Roof,Jiří Weil,2023/08/04-2023/08/07,,4,,
A Clockwork Orange,Anthony Burgess,2023/11/14-2023/11/17,,5,,
Mere,Danielle Giles,2025/05/01-2025/05/08,"adventurous, dark, emotional, inspiring, mysterious, sad, tense",4.5,,
Baudolino,Umberto Eco,2025/07/02-2025/07/14,"adventurous, challenging, emotional, inspiring, mysterious, reflective",4,,
The Brothers Karamazov,Fyodor Dostoevsky,2024/08/11-2024/09/05,,3.5,,
The Gunslinger,Stephen King,2024/12/31-2025/01/18,"adventurous, dark, mysterious",2.5,,
Look Who's Back,Timur Vermes,,,,,
We Are Electric,Sally Adee,2025/06/18-2025/06/20,"adventurous, informative, inspiring, lighthearted",3.5,,
Men Without Women,Haruki Murakami,2024/06/24-2024/06/27,,3,,
Ruby Redfort Take Your Last Breath,Lauren Child,2022/05/28-2022/05/31,,,,
Rebecca,Daphne du Maurier,2022/03/24-2022/03/30,,2,,
The Lovely Bones,Alice Sebold,2025/10/10-2025/10/13,"emotional, hopeful, reflective, sad",3.5,,
The Prime of Miss Jean Brodie,Muriel Spark,2023/01/24-2023/01/26,,2,,
The Man in the High Castle,Philip K. Dick,2025/02/02-2025/02/05,"adventurous, dark, reflective",3.5,,
Compass,Mathias Énard,2025/11/06-2025/12/02,"adventurous, challenging, emotional, funny, inspiring, reflective, sad",5,,
DallerGut Dream Department Store,Miye Lee,2025/04/19-2025/04/21,"funny, hopeful, lighthearted, relaxing",3,,
The Pillowman,Martin McDonagh,2023/01/16-2023/01/16,,5,,
Class Enemy,Nigel Williams,2025/03/28-2025/03/28,"dark, reflective",2,,
Perfection ,Vincenzo Latronico,2025/05/09-2025/05/10,reflective,3,,
The Trees,Percival Everett,2025/07/23-2025/07/25,"dark, emotional, funny, sad, tense",5,,
Heart of a Dog,Mikhail Bulgakov,2023/12/19-2023/12/21,,2,,
Private Lives - An Intimate Comedy,Noël Coward,2023/05/11-2023/05/11,,4.5,,
Fear and Loathing in Las Vegas,Hunter S. Thompson,2023/05/24-2023/05/25,,5,,
The Secret History,Donna Tartt,2022/06/30-2022/07/09,,5,,
Hollow,Brian Catling,2024/07/25-2024/08/05,,4,,
One Boat,Jonathan Buckley,2025/05/19-2025/06/10,"inspiring, sad",2.5,,
The Magus,John Fowles,2022/12/08-2022/12/25,,4,,
Lote,Shola von Reinhold,2023/08/10-2023/08/13,,3.5,,
Annihilation,Jeff VanderMeer,2023/07/28-2023/08/01,,2.5,,
The Butcher Boy,Patrick McCabe,2023/05/04-2023/05/11,,2,,
Death and the Penguin,Andrey Kurkov,2023/06/19-2023/06/20,,5,,
Peterdown,David Annand,2022/07/14-2022/07/20,,2.5,,
